Source_Path,Destination_Path,Academic_Year,Term_or_Type,Doc_Nature,Subject,Level,Is_Scanned,OCR_Applied,Confidence_Score
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21256.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21256.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21257.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Trimestre_1\Year_Unknown_Trimestre_1_1AM_21257.pdf,Year_Unknown,Trimestre_1,Sujet,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21260.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Exercices_Series\2020-2021\Exercices_Series_2020-2021_Sciences_1AM_21260.pdf,2020-2021,Exercices_Series,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21258.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Exercices_Series\Exercices_Series_1AM_21258.pdf,Year_Unknown,Exercices_Series,Sujet,Subject_Unknown,1AM,False,False,45
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21263.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2012\Examen\2012_Examen_1AM_21263.pdf,2012,Examen,Sujet,Subject_Unknown,1AM,False,False,85
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21261.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2018\Examen\2018_Examen_Sciences_1AM_21261.pdf,2018,Examen,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21259.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Examen\Year_Unknown_Examen_Corrige_Sciences_1AM_21259.pdf,Year_Unknown,Examen,Corrige,Sciences,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21265.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Exercices_Series\2017\Exercices_Series_2017_1AM_21265.pdf,2017,Exercices_Series,Sujet,Subject_Unknown,1AM,False,False,85
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21262.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2018\Examen\2018_Examen_Corrige_Histoire_Geo_1AM_21262.pdf,2018,Examen,Corrige,Histoire_Geo,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21266.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Examen\Year_Unknown_Examen_Sciences_1AM_21266.pdf,Year_Unknown,Examen,Sujet,Sciences,1AM,False,False,60
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21268.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2014\Examen\2014_Examen_Corrige_1AM_21268.pdf,2014,Examen,Corrige,Subject_Unknown,1AM,False,False,85
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21269.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\2016-2017\Examen\2016-2017_Examen_Sciences_1AM_21269.pdf,2016-2017,Examen,Sujet,Sciences,1AM,False,False,100
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21243.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Needs_OCR\Year_Unknown_Term_Unknown_1AM_21243.pdf,Year_Unknown,Term_Unknown,Sujet,Subject_Unknown,1AM,True,False,10
C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\21271.pdf,C:\Users\fethi\dzexams_downloaded_pdfs\المتوسطة\1am\العلوم الطبيعية\Cours_Resumes\2016-2017\Cours_Resumes_2016-2017_1AM_21271.pdf,2016-2017,Cours_Resumes,Sujet,Subject_Unknown,1AM,False,False,85
